,id,usuario_id,curp,nombres,apellido_paterno,apellido_materno,fecha_nacimiento,genero,nacionalidad,talla_playera,talla_pantalon,talla_calzado,peso,estatura,banco,nivel_estudios,nivel_estudios_deseado,experiencia_ciencia,experiencia_arte,interes_desarrollo_comunitario,razones_interes,profesion_interes,interes_incorporacion,codigo_postal,estado,colonia,municipio,localidad,calle,numero_exterior,numero_interior,estado_deseado,municipio_deseado,certificado,identificacion,estado_cuenta
0,1,7,QIMS3062P86IBJT5,Alberto,Cabrera,Sosa,1970-06-25,M,Puertorriqueño,XXL,XL,29,42.51,2.00,HSBC,Licenciatura,Licenciatura,Otro,Música,False,Razón 3,Profesión 5,Interés 4,42287,Hidalgo,La Cascada,San José de Gracia,El Llano,Vázquez,297,56,Tabasco,Asientos,/,/,/
1,2,8,HUCF8780V37UPXL2,Gabriela,Cabrera,Fernández,1960-05-17,O,Panameño,S,L,34,77.63,2.00,BanCoppel,Secundaria,Secundaria,Biología,Literatura,False,Razón 1,Profesión 3,Interés 5,70357,Oaxaca,La Colina,Jesús María,Jesús María,Benito Juárez,921,48,Tlaxcala,San José de Gracia,/,/,/
2,3,9,FUBK5540S78OTMF9,Rosa,Aguilar,Ruiz,1988-09-04,O,Ecuatoriano,S,M,32,82.81,2.00,BanCoppel,Preparatoria,Preparatoria,Química,Teatro,False,Razón 5,Profesión 2,Interés 4,33007,Chihuahua,San Juan,Pabellón de Arteaga,Tepezalá,Pérez,401,100,Oaxaca,Tepezalá,/,/,/
3,4,10,JAGB5832N73EYFG9,Ricardo,Morales,Villalobos,1963-11-15,O,Santalucense,L,XL,27,107.98,2.00,HSBC,Secundaria,Secundaria,Ninguna,Teatro,True,Razón 3,Profesión 1,Interés 5,77284,Quintana Roo,San Miguel,El Llano,Jesús María,Hidalgo,244,55,Durango,Asientos,/,/,/
4,5,11,QUHJ9215D78UGLW5,Ernesto,Pacheco,Campos,2002-02-20,M,Hondureño,XL,L,35,102.70,2.00,Inbursa,Preparatoria,Preparatoria,Química,Artes Plásticas,True,Razón 2,Profesión 2,Interés 5,68478,Oaxaca,La Sierra,Asientos,San José de Gracia,Juárez,6,2,Querétaro,Aguascalientes,/,/,/
5,6,12,ZOQF1184L81ODKS5,Oscar,Montes,Hernández,1987-11-23,M,Chileno,M,XXL,35,54.66,2.00,Banco Azteca,Licenciatura,Licenciatura,Química,Teatro,True,Razón 1,Profesión 4,Interés 4,93513,Veracruz,San Pedro,Ensenada,Calvillo,Silva,314,17,Tabasco,Asientos,/,/,/
6,7,13,HANL7891H49ABKY0,Irma,Cárdenas,Torres,1981-01-05,F,Guayanés,M,XXL,25,85.90,2.00,Santander,Secundaria,Secundaria,Química,Teatro,False,Razón 4,Profesión 4,Interés 4,90473,Tlaxcala,La Cumbre,Asientos,Jesús María,Juárez,230,18,Mexico,Rincón de Romos,/,/,/
7,8,14,YERR0350J18ICYD7,Teresa,Cárdenas,Cuevas,2002-02-11,F,Dominiqués,XS,XXL,31,92.75,2.00,Inbursa,Secundaria,Secundaria,Ninguna,Ninguna,True,Razón 4,Profesión 2,Interés 4,28821,Colima,La Gloria,Asientos,Pabellón de Arteaga,Hernández,577,71,Zacatecas,Rincón de Romos,/,/,/
8,9,15,VIHD0631J18IFDF9,José,Santos,Rosas,1970-01-18,O,Surinamés,L,S,30,105.02,2.00,Banco Azteca,Licenciatura,Licenciatura,Física,Literatura,True,Razón 3,Profesión 1,Interés 4,36679,Guanajuato,La Gloria,Aguascalientes,Calvillo,Carrillo,536,26,Chihuahua,San José de Gracia,/,/,/
9,10,16,DEJT2868G06ISLN9,Dulce,Escobar,Jiménez,1995-10-11,O,Brasileño,XS,M,22,70.63,2.00,BBVA,Primaria,Primaria,Biología,Ninguna,True,Razón 5,Profesión 1,Interés 2,61224,Michoacán,La Esperanza,Jesús María,Pabellón de Arteaga,González,488,79,Durango,Cosío,/,/,/
